ウマ名,誕生年,年齢差,学年差,学年
マルゼンスキー,1974,39,6,6
シンボリルドルフ,1981,32,5.102564103,5
タマモクロス,1984,29,4.717948718,4
ゴールドシチー,1984,29,4.717948718,4
メジロアルダン,1985,28,4.58974359,4
スーパークリーク,1985,28,4.58974359,4
サクラチヨノオー,1985,28,4.58974359,4
オグリキャップ,1985,28,4.58974359,4
メジロマックイーン,1987,26,4.333333333,4
トウカイテイオー,1988,25,4.205128205,4
ライスシャワー,1989,24,4.076923077,4
ミホノブルボン,1989,24,4.076923077,4
ビワハヤヒデ,1990,23,3.948717949,3
ナリタタイシン,1990,23,3.948717949,3
ヒシアマゾン,1991,22,3.820512821,3
ナリタブライアン,1991,22,3.820512821,3
マヤノトップガン,1992,21,3.692307692,3
フジキセキ,1992,21,3.692307692,3
ヒシアケボノ,1992,21,3.692307692,3
エアグルーヴ,1993,20,3.564102564,3
メジロブライト,1994,19,3.435897436,3
メジロドーベル,1994,19,3.435897436,3
マチカネフクキタル,1994,19,3.435897436,3
タイキシャトル,1994,19,3.435897436,3
サイレンススズカ,1994,19,3.435897436,3
セイウンスカイ,1995,18,3.307692308,3
スペシャルウィーク,1995,18,3.307692308,3
グラスワンダー,1995,18,3.307692308,3
エルコンドルパサー,1995,18,3.307692308,3
メイショウドトウ,1996,17,3.179487179,3
ハルウララ,1996,17,3.179487179,3
テイエムオペラオー,1996,17,3.179487179,3
アドマイヤベガ,1996,17,3.179487179,3
アグネスデジタル,1997,16,3.051282051,3
マンハッタンカフェ,1998,15,2.923076923,2
ファインモーション,1999,14,2.794871795,2
カワカミプリンセス,2003,10,2.282051282,2
スマートファルコン,2005,8,2.025641026,2
トーセンジョーダン,2006,7,1.897435897,1
カレンチャン,2007,6,1.769230769,1
エイシンフラッシュ,2007,6,1.769230769,1
キタサンブラック,2012,1,1.128205128,1
サトノダイヤモンド,2013,0,1,1